V1,V2,P1,P2,timestamp
2062,2062,0,0,2025-09-07 00:29:31
2056,2062,0,0,2025-09-07 00:29:31
2050,2061,0,0,2025-09-07 00:29:31
2054,2061,0,0,2025-09-07 00:29:31
2051,2058,0,0,2025-09-07 00:29:31
2049,2054,0,0,2025-09-07 00:29:31
2048,2057,0,0,2025-09-07 00:29:31
2052,2061,0,0,2025-09-07 00:29:31
2047,2061,0,0,2025-09-07 00:29:31
2048,2058,0,0,2025-09-07 00:29:31
2053,2056,0,0,2025-09-07 00:29:31
2043,2056,0,0,2025-09-07 00:29:31
2045,2056,0,0,2025-09-07 00:29:31
2042,2060,0,0,2025-09-07 00:29:31
2041,2054,0,0,2025-09-07 00:29:31
2038,2053,0,0,2025-09-07 00:29:31
2036,2047,0,0,2025-09-07 00:29:31
2037,2045,0,0,2025-09-07 00:29:31
2039,2032,0,0,2025-09-07 00:29:31
2038,2034,0,0,2025-09-07 00:29:31
2036,2036,0,0,2025-09-07 00:29:31
2039,2027,0,0,2025-09-07 00:29:31
2037,2026,0,0,2025-09-07 00:29:31
2037,2027,0,0,2025-09-07 00:29:31
2038,2020,0,0,2025-09-07 00:29:31
2035,2018,0,0,2025-09-07 00:29:31
2041,2019,0,0,2025-09-07 00:29:31
2034,2016,0,0,2025-09-07 00:29:31
2032,2014,0,0,2025-09-07 00:29:31
2037,2017,0,0,2025-09-07 00:29:31
2036,2017,0,0,2025-09-07 00:29:31
2037,2018,0,0,2025-09-07 00:29:31
2037,2018,0,0,2025-09-07 00:29:31
2037,2024,0,0,2025-09-07 00:29:31
2040,2018,0,0,2025-09-07 00:29:31
2041,2023,0,0,2025-09-07 00:29:31
2045,2024,0,0,2025-09-07 00:29:31
2044,2025,0,0,2025-09-07 00:29:31
2037,2028,0,0,2025-09-07 00:29:31
2047,2026,0,0,2025-09-07 00:29:31
2041,2031,0,0,2025-09-07 00:29:31
2038,2033,0,0,2025-09-07 00:29:31
2045,2036,0,0,2025-09-07 00:29:31
2043,2037,0,0,2025-09-07 00:29:31
2046,2034,0,0,2025-09-07 00:29:31
2042,2042,0,0,2025-09-07 00:29:31
2045,2038,0,0,2025-09-07 00:29:31
2046,2044,0,0,2025-09-07 00:29:31
2038,2045,0,0,2025-09-07 00:29:31
2040,2047,0,0,2025-09-07 00:29:31
2042,2048,0,0,2025-09-07 00:29:31
2039,2053,0,0,2025-09-07 00:29:31
2039,2051,0,0,2025-09-07 00:29:31
2039,2050,0,0,2025-09-07 00:29:31
2039,2051,0,0,2025-09-07 00:29:31
2039,2048,0,0,2025-09-07 00:29:31
2028,2046,0,0,2025-09-07 00:29:31
2041,2045,0,0,2025-09-07 00:29:31
2035,2044,0,0,2025-09-07 00:29:31
2035,2045,0,0,2025-09-07 00:29:31
2037,2040,0,0,2025-09-07 00:29:31
2031,2038,0,0,2025-09-07 00:29:31
2035,2038,0,0,2025-09-07 00:29:31
2034,2034,0,0,2025-09-07 00:29:31
2034,2029,0,0,2025-09-07 00:29:31
2045,2028,0,0,2025-09-07 00:29:31
2036,2031,0,0,2025-09-07 00:29:31
2046,2025,0,0,2025-09-07 00:29:31
2040,2029,0,0,2025-09-07 00:29:31
2041,2028,0,0,2025-09-07 00:29:31
2038,2027,0,0,2025-09-07 00:29:31
2044,2025,0,0,2025-09-07 00:29:31
2046,2030,0,0,2025-09-07 00:29:31
2048,2026,0,0,2025-09-07 00:29:31
2045,2023,0,0,2025-09-07 00:29:31
2045,2030,0,0,2025-09-07 00:29:31
2049,2025,0,0,2025-09-07 00:29:31
2052,2025,0,0,2025-09-07 00:29:31
2056,2022,0,0,2025-09-07 00:29:31
2049,2025,0,0,2025-09-07 00:29:31
2048,2023,0,0,2025-09-07 00:29:31
2052,2025,0,0,2025-09-07 00:29:31
2053,2025,0,0,2025-09-07 00:29:31
2060,2028,0,0,2025-09-07 00:29:31
2055,2024,0,0,2025-09-07 00:29:31
2061,2022,0,0,2025-09-07 00:29:31
2058,2028,0,0,2025-09-07 00:29:31
2056,2029,0,0,2025-09-07 00:29:31
2068,2032,0,0,2025-09-07 00:29:31
2056,2032,0,0,2025-09-07 00:29:31
2058,2030,0,0,2025-09-07 00:29:31
2062,2028,0,0,2025-09-07 00:29:31
2054,2037,0,0,2025-09-07 00:29:31
2063,2042,0,0,2025-09-07 00:29:31
2054,2040,0,0,2025-09-07 00:29:31
2055,2041,0,0,2025-09-07 00:29:31
2059,2040,0,0,2025-09-07 00:29:31
2051,2047,0,0,2025-09-07 00:29:31
2052,2044,0,0,2025-09-07 00:29:31
2054,2048,0,0,2025-09-07 00:29:31
2047,2053,0,0,2025-09-07 00:29:32
2050,2056,0,0,2025-09-07 00:29:32
2046,2054,0,0,2025-09-07 00:29:32
2044,2054,0,0,2025-09-07 00:29:32
2054,2053,0,0,2025-09-07 00:29:32
2043,2054,0,0,2025-09-07 00:29:32
2049,2051,0,0,2025-09-07 00:29:32
2043,2045,0,0,2025-09-07 00:29:32
2045,2049,0,0,2025-09-07 00:29:32
2048,2049,0,0,2025-09-07 00:29:32
2044,2055,0,0,2025-09-07 00:29:32
2044,2048,0,0,2025-09-07 00:29:32
2043,2047,0,0,2025-09-07 00:29:32
2039,2044,0,0,2025-09-07 00:29:32
2038,2041,0,0,2025-09-07 00:29:32
2037,2044,0,0,2025-09-07 00:29:32
2038,2039,0,0,2025-09-07 00:29:32
2042,2038,0,0,2025-09-07 00:29:32
2034,2039,0,0,2025-09-07 00:29:32
2040,2037,0,0,2025-09-07 00:29:32
2034,2041,0,0,2025-09-07 00:29:32
2037,2036,0,0,2025-09-07 00:29:32
2039,2031,0,0,2025-09-07 00:29:32
2036,2026,0,0,2025-09-07 00:29:32
2035,2026,0,0,2025-09-07 00:29:32
2030,2026,0,0,2025-09-07 00:29:32
2033,2019,0,0,2025-09-07 00:29:32
2031,2016,0,0,2025-09-07 00:29:32
2032,2009,0,0,2025-09-07 00:29:32
2033,2010,0,0,2025-09-07 00:29:32
2032,2006,0,0,2025-09-07 00:29:32
2030,2007,0,0,2025-09-07 00:29:32
2033,2002,0,0,2025-09-07 00:29:32
2035,1996,0,0,2025-09-07 00:29:32
2035,1997,0,0,2025-09-07 00:29:32
2033,1994,0,0,2025-09-07 00:29:32
2032,1995,0,0,2025-09-07 00:29:32
2034,1992,0,0,2025-09-07 00:29:32
2035,1989,0,0,2025-09-07 00:29:32
2039,1986,0,0,2025-09-07 00:29:32
2044,1989,0,0,2025-09-07 00:29:32
2050,1986,0,0,2025-09-07 00:29:32
2043,1988,0,0,2025-09-07 00:29:32
2046,1989,0,0,2025-09-07 00:29:32
2039,1989,0,0,2025-09-07 00:29:32
2043,1987,0,0,2025-09-07 00:29:32
2050,1985,0,0,2025-09-07 00:29:32
2041,1986,0,0,2025-09-07 00:29:32
2030,1983,0,0,2025-09-07 00:29:32
2021,1972,0,0,2025-09-07 00:29:32
2003,1974,0,0,2025-09-07 00:29:32
2003,1971,0,0,2025-09-07 00:29:32
1991,1972,0,0,2025-09-07 00:29:32
1989,1973,0,0,2025-09-07 00:29:32
1989,1967,0,0,2025-09-07 00:29:32
1988,1971,0,0,2025-09-07 00:29:32
1993,1969,0,0,2025-09-07 00:29:32
